target,outcome,M,robust_lo,robust_hi
esg_specific,n_filers,0.0,-194.48233735589855,-48.45356738072327
esg_specific,n_filers,0.25,-240.23299506077728,-2.702909675844552
esg_specific,n_filers,0.5,-285.98365276565596,43.04774802903417
esg_specific,n_filers,1.0,-377.4849681754134,134.54906343879162
esg_specific,n_filers,1.5,-468.98628358517084,226.05037884854903
esg_specific,n_filers,2.0,-560.4875989949282,317.5516942583065
esg_arm,n_filers,0.0,9.19688625172352,45.913136921638355
esg_arm,n_filers,0.25,-0.46311408879320837,55.573137262155086
esg_arm,n_filers,0.5,-10.123114429309936,65.2331376026718
esg_arm,n_filers,1.0,-29.443115110343392,84.55313828370527
esg_arm,n_filers,1.5,-48.76311579137685,103.87313896473873
esg_arm,n_filers,2.0,-68.0831164724103,123.19313964577218
esg_specific,log_shares,0.0,-1.27943106686636,0.4801913779083547
esg_specific,log_shares,0.25,-1.3394355313037143,0.540195842345709
esg_specific,log_shares,0.5,-1.3994399957410688,0.6002003067830635
esg_specific,log_shares,1.0,-1.5194489246157776,0.7202092356577723
esg_specific,log_shares,1.5,-1.6394578534904864,0.8402181645324811
esg_specific,log_shares,2.0,-1.759466782365195,0.9602270934071899
esg_arm,log_shares,0.0,-0.17090576653158138,0.1632894631286004
esg_arm,log_shares,0.25,-0.20309699477359527,0.1954806913706143
esg_arm,log_shares,0.5,-0.2352882230156092,0.22767191961262823
esg_arm,log_shares,1.0,-0.299670679499637,0.2920543760966561
esg_arm,log_shares,1.5,-0.36405313598366484,0.35643683258068387
esg_arm,log_shares,2.0,-0.4284355924676927,0.42081928906471167
