check,variant,estimator,outcome,control_pool,post_window,att_esg,se_esg,esg_pretrend_pass,att_sp,se_sp,sp_pretrend_pass,esg_specific,se_diff,z,p_value,supported,n_treated_esg,n_treated_sp
baseline,"matched_cem, post 0..4",sun_abraham,n_filers,matched_cem,0..4,27.55501158738233,9.366563949995633,False,149.0229639403476,36.0560911619259,False,-121.46795235296528,37.25284190644344,-3.260635863916615,0.0011116269680228829,False,334,65
horizon,post 0..2,sun_abraham,n_filers,matched_cem,0..2,28.24915279419743,7.966524658861156,False,138.18424549258287,35.0498874456743,False,-109.93509269838545,35.94384683217254,-3.0585232908344406,0.0022243078807864056,False,334,65
horizon,post 0..6,sun_abraham,n_filers,matched_cem,0..6,18.658614031186005,10.73196195031377,False,155.24620112079714,37.23662438779783,False,-136.58758708961113,38.752305777862084,-3.524631227689144,0.00042407270785460203,False,334,65
matching,matched_psm,sun_abraham,n_filers,matched_psm,0..4,34.44397987575313,9.355928874392344,False,146.26255698341112,36.04489872758353,False,-111.81857710765799,37.239335780655935,-3.002700632639705,0.002675955211831125,False,334,65
winsorise,level outcome 1/99,sun_abraham,n_filers,matched_cem,0..4,12.171902280957248,7.48293850985937,False,73.43669140539652,24.157225685968772,False,-61.26478912443927,25.289640598181023,-2.4225251002122103,0.015413060950246249,False,334,65
exclude_covid,drop 2020Q1-Q2,sun_abraham,n_filers,matched_cem,0..4,30.089479456872095,11.147509050273689,True,146.82516078186825,34.34053989746933,False,-116.73568132499615,36.104565341181114,-3.2332664919759226,0.001223833402642029,False,334,64
treatment_def,drop ever_dropped (ESG arm),sun_abraham,n_filers,matched_cem,0..4,48.24853605306882,13.388330766478793,False,149.0229639403476,36.0560911619259,False,-100.77442788727879,38.46152766843451,-2.620135860333615,0.008789474262535103,False,157,65
matching,full pool (CS point est.),callaway_santanna,n_filers,full,0..4,79.65628828306765,,,203.286981392339,,,-123.63069310927133,,,,,334,65
baseline,"matched_cem, post 0..4",sun_abraham,log_shares,matched_cem,0..4,-0.003808151698657617,0.08525551658375098,False,0.39581169279660455,0.440721307339636,False,-0.39961984449526217,0.44889171728950417,-0.8902366185507828,0.3733388459852567,False,334,65
horizon,post 0..2,sun_abraham,log_shares,matched_cem,0..2,0.03916039579949483,0.06910281552482396,False,0.47437756166688483,0.44700176085617277,False,-0.43521716586739,0.45231158875489463,-0.9622065334771512,0.3359458678727072,False,334,65
horizon,post 0..6,sun_abraham,log_shares,matched_cem,0..6,-0.08577014266923286,0.09184728575284082,False,0.42362077250336333,0.444571195368199,False,-0.5093909151725962,0.4539597687585028,-1.1221058565733422,0.26181743405864233,False,334,65
matching,matched_psm,sun_abraham,log_shares,matched_psm,0..4,0.03647548374742706,0.08570829565367541,False,0.4103815988672798,0.44051790508021543,False,-0.3739061151198528,0.44877827113188035,-0.8331644804834474,0.40475197187236545,False,334,65
winsorise,level outcome 1/99,sun_abraham,log_shares,matched_cem,0..4,-0.011400658166308452,0.08416600358585895,False,0.37120883626001455,0.438399093271556,False,-0.382609494426323,0.4464052879849625,-0.8570899689683146,0.39139516446597966,False,334,65
exclude_covid,drop 2020Q1-Q2,sun_abraham,log_shares,matched_cem,0..4,0.06996133933641646,0.10163538912296434,False,0.37658487256167517,0.30065191455834217,False,-0.3066235332252587,0.3173662333169253,-0.9661504628914355,0.3339688965212483,False,334,64
treatment_def,drop ever_dropped (ESG arm),sun_abraham,log_shares,matched_cem,0..4,0.1633416991238299,0.09862886494188124,False,0.39581169279660455,0.440721307339636,False,-0.23246999367277466,0.45162254565386983,-0.514743995643971,0.606731925286887,False,157,65
matching,full pool (CS point est.),callaway_santanna,log_shares,full,0..4,-0.42358083842428434,,,0.44704784047168944,,,-0.8706286788959738,,,,,334,65
